"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"WFC","Wells Fargo & Company","49.56","253143204746.88","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfc",
"WFC.WS","Wells Fargo & Company","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc.ws",
"WFC^J","Wells Fargo & Company","27.92","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^j",
"WFC^L","Wells Fargo & Company","1176","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^l",
"WFC^N","Wells Fargo & Company","25.52","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^n",
"WFC^O","Wells Fargo & Company","25.41","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^o",
"WFC^P","Wells Fargo & Company","25.52","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^p",
"WFC^Q","Wells Fargo & Company","26.15","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^q",
"WFC^R","Wells Fargo & Company","28.81","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^r",
"WFC^T","Wells Fargo & Company","26.69","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^t",
"WFC^V","Wells Fargo & Company","26.64","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^v",
"WFE^A","Wells Fargo & Company","26.4","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfe^a",
"EOD","Wells Fargo Global Dividend Opportunity Fund","5.61","275792228.25","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/eod",
"HCN","Welltower Inc.","68.09","24095655835.9","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hcn",
"HCN^I","Welltower Inc.","60.81","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcn^i",
"HCN^J","Welltower Inc.","26.54","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcn^j",
"WAIR","Wesco Aircraft Holdings, Inc.","10.6","1038063565","n/a","2011","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/wair",
"WCC","WESCO International, Inc.","40.77","1717689839.4","n/a","1999","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/wcc",
"WST","West Pharmaceutical Services, Inc.","55.44","3996540812.88","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/wst",
"WR","Westar Energy, Inc.","42.09","5948896890.24","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/wr",
"WAL","Western Alliance Bancorporation","32.75","3350563321.75","n/a","2005","Finance","Major Banks","http://www.nasdaq.com/symbol/wal",
"WEA","Western Asset Bond Fund","12.15","144403551.9","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/wea",
"ESD","Western Asset Emerging Markets Debt Fund Inc","13.62","419416227.66","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/esd",
"EMD","Western Asset Emerging Markets Income Fund, Inc","9.61","275133194.85","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/emd",
"GDO","Western Asset Global Corporate Defined Opportunity Fund Inc.","15.8901","243861805.3176","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/gdo",
"EHI","Western Asset Global High Income Fund Inc","8.64","268300080","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/ehi",
"GDF","Western Asset Global Partners Income Fund, Inc.","7.7311","120502978.0513","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/gdf",
"HIX","Western Asset High Income Fund II Inc.","6.39","550842639.84","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/hix",
"HIO","Western Asset High Income Opportunity Fund, Inc.","4.59","384130582.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hio",
"HYI","Western Asset High Yield Defined Opportunity Fund Inc.","13.99","318739346.3","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/hyi",
"IGI","Western Asset Investment Grade Defined Opportunity Trust Inc.","20.7075","222888096.0075","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/igi",
"MHY","Western Asset Managed High Income Fund, Inc.","4.46","210527324.56","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhy",
